Affiliated entity,Affiliated entity ID,Number of facilities,Number of states and territories with operations,Number of Special Focus Facilities (SFF),Number of SFF candidates,Number of facilities with an abuse icon,Percentage of facilities with an abuse icon,Percent of facilities classified as for-profit,Percent of facilities classified as non-profit,Percent of facilities classified as government-owned,Average overall 5-star rating,Average health inspection rating,Average staffing rating,Average quality rating,Average total nurse hours per resident day,Average total weekend nurse hours per resident day,Average total Registered Nurse hours per resident day,Average total nursing staff turnover percentage,Average Registered Nurse turnover percentage,Average number of administrators who have left the nursing home,Total number of fines,Average number of fines,Total amount of fines in dollars,Average amount of fines in dollars,Total number of payment denials,Average number of payment denials,Average percentage of short-stay residents who were re-hospitalized after a nursing home admission,Average percentage of short-stay residents who have had an outpatient emergency department visit,Average percentage of short-stay residents who newly received an antipsychotic medication,Average percentage of short-stay residents with pressure ulcers or pressure injuries that are new or worsened,Average percentage of short-stay residents who are at or above an expected ability to care for themselves and move around at discharge,Average percentage of short-stay residents who were assessed and appropriately given the seasonal influenza vaccine,Average percentage of short-stay residents who were assessed and appropriately given the  pneumococcal vaccine,"Average number of hospitalizations per 1,000 long-stay resident days","Average number of outpatient emergency department visits per 1,000 long-stay resident days",Average percentage of long-stay residents who received an antipsychotic medication,Average percentage of long-stay residents experiencing one or more falls with major injury,Average percentage of long-stay residents with pressure ulcers,Average percentage of long-stay residents with a urinary tract infection,Average percentage of long-stay residents who have or had a catheter inserted and left in their bladder,Average percentage of long-stay residents whose ability to move independently worsened,Average percentage of long-stay residents whose need for help with activities of daily living has increased,Average percentage of long-stay residents who were assessed and appropriately given the seasonal influenza vaccine,Average percentage of long-stay residents who were assessed and appropriately given the  pneumococcal vaccine,Average percentage of long-stay residents who were physically restrained,Average percentage of long-stay residents with new or worsened bowel or bladder incontinence,Average percentage of long-stay residents who lose too much weight,Average percentage of long-stay residents who have symptoms of depression,Average percentage of long-stay residents who used antianxiety or hypnotic medication,Average rate of potentially preventable hospital readmissions 30 days after discharge from a SNF,Average percentage of current residents up to date with COVID-19 vaccines,Average percentage of healthcare personnel up to date with COVID-19 vaccines
TOUCHSTONE COMMUNITIES,521,26,1,0,0,2,7.7,80.8,0,19.2,2.7,3.1,1.5,3.7,3.1,2.7,0.3,51.6,49.1,0.4,31,1.2,962735.36,37028.28,3,0.1,29.1,11,0.8,1.6,49.8,83.6,93.8,2.4,2.23,5.1,2.9,3.8,0.4,0.7,17.3,18.2,98.8,98.3,0,19.5,3.1,1.7,17.3,10.8,1.4,0
TRANSITIONS HEALTHCARE,627,6,1,0,0,1,16.7,100,0,0,2,2.2,2.7,2.5,3.8,3.5,0.6,49.4,45.3,0.8,4,0.7,420357,70059.5,0,0,19.7,10.3,1,4.1,44.1,61,68.2,1.64,1.51,23,2.7,8.4,1.9,1.7,27.4,21.8,86.4,86.9,0,24.9,4.3,0.9,20.3,10.5,43.2,2.4
TRAYLOR PORTER HEALTHCARE MANAGEMENT,635,5,1,0,0,0,0,100,0,0,2.8,2.4,4,3.2,4.1,3.5,0.6,49.4,39.6,0.4,0,0,0,0,0,0,28.9,14.3,0.8,3.2,48.3,87.5,89.2,1.76,1.7,16.1,3.4,4.4,3.3,2.2,20.5,17.6,98.6,97,0.3,21.2,8.2,0.2,28.3,10.4,50,4.5
TREND CONSULTANTS,522,15,1,0,0,2,13.3,100,0,0,2.4,2.9,3.4,1.9,4.6,3.7,0.6,41.3,44,0.7,15,1,186228.51,12415.23,3,0.2,25.2,18.8,2,2,61.8,81.9,89.5,2.69,3.66,22.7,4.5,6.7,4.1,1.6,27,22.2,98.9,97.4,0.6,22.1,7.5,0.2,26.8,11,32.3,2.2
TRILOGY HEALTH SERVICES,524,127,5,0,1,4,3.1,83.5,4.7,11.8,4,3.3,3,4.7,3.9,3.5,0.9,42.7,36.3,0.4,63,0.5,1009664.77,7950.12,9,0.1,23.2,11.8,1,1.2,64.3,87.3,92.5,1.56,1.47,9.6,3.8,2.9,0.4,0.2,13.1,8.7,96.2,96.4,0,24,5.8,12.8,23.1,10.9,28.2,0.2
TRINITY HEALTH,525,21,8,0,0,2,9.5,4.8,95.2,0,3.7,3.4,4,3.7,4.9,4.5,1.4,43.4,37.7,0.5,2,0.1,17650.75,840.51,1,0,23.1,11,0.7,2.8,51,92.2,94.9,1.43,1.39,12.5,3.4,5.2,2.3,1.5,30.8,20.4,98.7,98.1,0,26.5,4.5,1.1,15.9,10.3,44.5,12.3
"TRINITY MANAGEMENT, INC.",527,5,1,0,0,0,0,100,0,0,3.4,3.4,4.2,2.8,3.8,3.2,0.7,44.7,35,0.2,0,0,0,0,0,0,31.4,15,0.8,0,53.8,90.3,95,2.49,2.14,17.3,2.7,3.8,1.8,0.6,19.3,15.6,99.3,99.6,0,13.2,6.3,1,33.2,10.4,39.6,3.4
TRIO HEALTHCARE,528,9,1,0,0,1,11.1,100,0,0,1.3,1.4,2.3,2.6,3.5,3.2,0.5,50.8,60.8,0.8,10,1.1,389702.75,43300.31,0,0,23.1,13,2.7,3.2,46.9,75.1,67.9,1.52,2.08,12.6,5.3,4.2,0.5,1,31.6,29.9,93.9,93.1,0,26.9,6.1,11.7,23.3,10.3,42.5,0.5
TROUSDALE LIVING COMMUNITIES,529,5,2,0,2,2,40,20,80,0,1.4,1.4,1.6,3.4,3.3,3,0.4,58.2,61.2,2.5,10,2,568833.5,113766.7,4,0.8,16.7,9.9,1.3,4,33,48.7,51.1,1.64,1.67,17,3.3,5.2,1,1.2,26,15.3,83.6,69,0,14,7.6,16.5,22.2,11.6,12.6,1.3
TRUSTCARE MANAGEMENT,530,16,2,0,1,3,18.8,93.8,0,6.3,2.5,2.8,2.7,2.2,3.6,3.2,0.3,44.5,42,0.8,20,1.3,658471.51,41154.47,0,0,29,15.2,5.7,3.1,65.5,92.1,96.3,2.36,2.67,14.9,3.7,4.5,1.3,1.6,28.8,21.8,98.3,98.5,0,15.6,5.2,0.9,26.5,11.1,34.9,1.6
TUTERA SENIOR LIVING & HEALTH CARE,531,24,4,0,1,9,37.5,95.8,4.2,0,2,2.3,1.6,3,3.5,3.1,0.5,55,58.7,0.4,72,3,3110781.57,129615.9,22,0.9,28.5,13.9,1.3,3.5,53.1,59.4,65.9,1.79,2.37,14.8,5,6.9,1.2,0.8,23.1,15.4,90.1,88.5,0.1,24.6,7,4.5,24.2,11,26.9,11.7
TWIN RIVERS HEALTH & REHABILITATION,532,13,2,0,0,1,7.7,30.8,61.5,7.7,3.5,3.6,2.8,2.7,3.6,3.2,0.6,41.8,33.6,0.3,2,0.2,14888.25,1145.25,0,0,22.4,14,1.4,1.8,53.9,95.2,98.5,2.01,2.38,14.8,5.6,4.2,3.9,1,27.6,21.2,99.7,99.5,0,23,6.3,13.4,32.3,10.6,30.1,1.3
UNITED CHURCH HOMES,533,6,1,0,0,0,0,0,100,0,2.8,2.5,2.5,4,3.8,3.4,0.5,44.8,35.2,0.8,2,0.3,24453,4075.5,1,0.2,25.3,11.7,1,2.1,42.2,87.6,85,1.42,1.7,9.5,5.4,4,0.3,0.1,11.4,8.2,98.5,96.7,0,27.3,7.6,6.5,22.5,10.2,48.3,2.4
UNITED METHODIST HOMES,534,3,2,0,1,0,0,0,100,0,3,2.3,4.3,4.3,4.1,3.6,0.8,39.5,26.7,0.7,2,0.7,159645.2,53215.07,0,0,20.1,14.1,1.1,0,66.4,86.8,86.7,1.54,0.83,12.2,3.3,7.3,0.9,1.2,28.8,23.5,97.4,95,0,31.4,5.6,0,14.3,10.3,63.3,7.6
UNIVERSITY OF VERMONT HEALTH NETWORK,535,3,2,0,0,0,0,0,100,0,3.3,3,4.3,3.3,4.7,4.2,1.1,43.4,33.4,0,0,0,0,0,1,0.3,18.2,17.1,0.7,2.4,53.1,84.2,82,0.88,1.3,29.5,3.4,9.6,3.8,6.8,22.3,20.8,98.8,90.2,3.4,30.5,6.9,3.7,18.4,9.1,60.1,4.6
"UNLIMITED DEVELOPMENT, INC.",536,10,2,0,0,0,0,30,70,0,3.7,3.6,3,3,4.1,3.6,0.6,41.2,36.6,0.1,12,1.2,552240.42,55224.04,3,0.3,26.2,17.4,1.6,2.5,58,76.9,88.1,1.6,2.24,14.7,4.5,4.5,3.8,1,28.4,26,90.9,98,0,23.6,4.3,7.1,18,11.2,44.1,2.6
UPMC SENIOR COMMUNITIES,537,11,1,0,1,2,18.2,9.1,90.9,0,3.5,2.9,4.3,3.9,4.9,4.3,1.6,54.8,43,0.7,4,0.4,63170.95,5742.81,0,0,20.6,9.5,1.3,2.9,60,85.3,90.5,1.23,1.31,16.4,3.9,6,2.5,0.8,22.5,18.2,95.4,95.3,0,28.1,7.3,3.5,18.7,10.8,35.9,2.5
UPSTATE SERVICES GROUP,538,17,1,0,1,4,23.5,100,0,0,1.5,1.8,2.4,2.4,3.3,2.8,0.5,52.2,45.6,1.1,13,0.8,560635.35,32978.55,1,0.1,23.4,14.8,2.2,3.8,47.4,71.5,66.4,1.87,1.95,19,3.9,8,0.7,1.1,18.6,18.7,94.2,89.9,0.1,28.8,6.1,6.1,16,10.3,48.1,8.6
UVALDE COUNTY HOSPITAL AUTHORITY,679,7,1,0,0,1,14.3,71.4,14.3,14.3,1.9,2.3,1.4,2.7,3.1,2.6,0.2,57.5,72,0.5,18,2.6,835363.07,119337.58,3,0.4,22.5,17.1,0.8,2.5,60,85.7,94.1,2.55,2.31,9,3.2,3.7,1.6,1.2,28.6,24.6,99.6,97.3,0.1,25.7,5.5,2.1,25.9,11.3,20.7,2.9
VANCREST HEALTH CARE CENTERS,542,12,1,0,0,0,0,100,0,0,4.1,4,2.5,4.1,3.8,3.4,0.6,44.4,30.4,0.4,1,0.1,9750,812.5,0,0,25.6,15.8,1.5,2.6,52.5,80.6,92.1,1.35,2.1,7.4,4.4,2.3,0.6,0.2,11.5,6.3,96.6,97.3,0,28.4,5.1,42.8,22,10.1,25.3,0.8
VANGUARD HEALTHCARE,543,6,1,0,0,1,16.7,100,0,0,3.7,3.7,4.2,2.3,4.4,3.6,0.7,40.1,42.2,0.7,3,0.5,136252,22708.67,0,0,25,14.9,1.3,6,54.6,83.6,84.9,1.86,2.09,13.4,2.4,9.5,0.8,1.2,27.3,21.8,99.1,98.2,0.1,16,3.7,1.4,23.6,10,59.7,4.1
VANTAGE CARE,669,7,1,0,1,1,14.3,100,0,0,2,2.6,2.1,2.4,3.8,3.6,0.4,46.7,50.8,1.4,11,1.6,922789.29,131827.04,0,0,29.4,12,1.2,3.9,42.5,79.1,67.4,1.48,1.38,16.7,4,5.2,2.8,1.9,27.4,22.2,94.6,92.8,0,27.6,7.2,1,18.1,11.4,63.2,8.5
VENTURA SERVICES FLORIDA,544,10,1,0,0,2,20,100,0,0,2.5,2.3,2.9,3.9,3.7,3.3,0.7,33.3,38.1,1.7,10,1,305096.69,30509.67,2,0.2,27.8,6.3,4.6,1.8,40.8,97.9,99.9,2.26,0.9,16.7,1.6,5.4,0,0.5,8.3,7.6,99.8,100,0,7.4,5.4,0.9,23.5,10,31.6,10.6
VENZA CARE MANAGEMENT,614,17,5,0,1,1,5.9,100,0,0,2.6,2.7,3.4,2.3,4.1,3.5,0.6,54.3,49.8,0.2,28,1.6,527754.11,31044.36,3,0.2,26.3,13.5,2.6,2.7,42,79.7,83.9,2.1,1.87,20.4,3.9,5.4,2.2,1.6,26.2,18.3,93.2,91.8,0.2,20.5,6.6,2,23.3,10.7,37.1,3
VERITAS MANAGEMENT GROUP,545,15,5,0,0,0,0,100,0,0,4.3,3.7,2.8,4.9,4.7,4.1,1,56.2,59.9,0.5,5,0.3,31291.85,2086.12,0,0,21.8,10.1,0.2,0.1,62,90.7,96.9,1.18,1.03,4.6,0,14.1,0,2.7,21.5,20,,100,0,,55,,12,9.4,13.1,3.7
VERTICAL HEALTH SERVICES,636,18,2,1,0,5,27.8,100,0,0,1.2,1.6,1.4,3.2,3.1,2.7,0.5,60.2,53.8,1.6,78,4.3,2908062.83,161559.05,18,1,25.7,12.2,2.2,3.3,43.8,66.4,70.7,1.7,1.36,18.2,1.9,5.8,0.7,0.5,18.4,16,90.4,89,0,19.8,4.5,41.2,23.3,10.7,30.2,5.8
VETTER SENIOR LIVING,547,23,2,0,0,0,0,0,100,0,4.3,4,4.1,3.4,4.2,3.6,0.7,37.6,31.5,0.2,3,0.1,18000,782.61,0,0,20.9,10.5,1.4,2.7,46.1,94.1,93.1,1.41,1.43,11.4,3.9,4.3,2.2,1.3,26.4,23.2,98,97.9,0,28.4,3.8,1.5,17.5,9.2,46.3,2.4
VI LIVING,548,10,6,0,0,0,0,100,0,0,4.8,4.4,5,3.9,5.9,5.3,1.8,31.9,32.1,0.4,4,0.4,23260.25,2326.03,0,0,23.4,10.9,0.4,3,52.9,91.2,92.3,2.13,1.19,12.1,5,4.3,2.5,0.6,22.1,19.5,94.8,98.5,0,20.4,2.4,2,10.3,9.8,51.5,5.9
VIBRA HEALTHCARE,549,4,4,0,0,0,0,100,0,0,3,2.5,3.3,3.5,4.8,4.4,1,60,58,0.5,15,3.8,352769.94,88192.48,0,0,25.6,17.1,2.6,0,46.5,77.2,93.8,2.21,1.78,23,2.8,9.3,0.2,0,19,15.3,87.3,99.8,0.2,16.9,1.8,1.6,29.6,10.2,41.6,1.7
VIERRA COMMUNITIES,597,2,2,0,0,0,0,100,0,0,2,2,3,4,3.3,2.9,0.7,27.3,21.1,0,2,1,99001.5,49500.75,0,0,20.6,10,1.5,3.4,54.5,70,66.5,1.79,0.95,15.3,2.1,10.7,1.3,0.1,31.6,21.3,83.4,88.1,0,26,9.1,7.4,16.5,10.8,68.3,6.8
VILLA HEALTHCARE,550,19,4,0,0,3,15.8,100,0,0,2.3,2.1,2.4,3.9,3.4,3,0.4,47.6,45.1,0.7,35,1.8,1574291.78,82857.46,8,0.4,26.8,13,1.6,1.2,54.8,57.8,62,1.46,0.9,14.3,1.7,4.8,0.6,0.5,9.5,6.7,89.9,85.1,0,22.4,4.3,20.8,18.4,10.4,38.7,5.8
VIRGINIA HEALTH SERVICES,551,7,1,0,0,1,14.3,100,0,0,2.7,2.6,2.4,4,3.7,3.3,0.5,41.9,25.6,0.6,4,0.6,68643.25,9806.18,0,0,20,14,2.2,2.7,39.6,95.9,96.1,1.29,0.94,16.8,3.9,5.8,1.1,0.8,13.5,11.2,100,98.1,0,18.4,5.6,2.1,31.2,9.7,25.9,0.9
VIVAGE SENIOR LIVING,552,17,1,0,0,4,23.5,100,0,0,3.3,2.9,2.9,4.4,3.5,3.1,0.7,43.8,46.7,0.3,17,1,123034.89,7237.35,1,0.1,15.7,11.7,1.6,1,50.4,83.8,77,1.45,1.9,21,2.5,4,1.1,0.5,13.1,11.5,96.2,95.5,0.1,23,5.2,2.8,7.9,9.2,48.9,8.4
VIVO HEALTHCARE,688,7,1,0,0,0,0,100,0,0,2.7,2.7,1.9,4.2,3.5,3.3,0.4,55.2,67.1,1,5,0.7,44711.02,6387.29,0,0,26.7,10.9,1,1.9,38.1,98.2,94.2,1.82,1.1,6.2,2.4,5.7,0.2,0.2,7.7,5.4,100,94.4,0,9.4,4.6,2.5,14.7,11.6,31.8,1.1
VIVRA SPECIALTY CARE,709,2,2,0,0,0,0,100,0,0,4,4,4,4,4.1,3.7,1.5,41.9,28.6,1,7,3.5,37552.66,18776.33,0,0,28.6,5.9,0.9,1.7,60.3,68.2,73.2,1.89,1.59,16.5,2.2,7.6,0.7,6.8,17.4,20.7,95.2,78.4,0,19.9,6.5,17.1,12.9,13.3,42.2,14.4
VOLARE HEALTH,628,11,1,1,1,3,27.3,100,0,0,2,1.7,2.9,3.6,5.2,4.5,0.6,62.3,61.7,1.1,17,1.5,987718.55,89792.6,5,0.5,21.1,16.6,1.1,2.4,44.4,80,86.4,1.71,1.97,9.9,2.8,6.2,1,1.3,30.6,14.3,92.5,96.6,0,25.1,3.9,4.2,11.5,9.8,29.7,6.2
VOLUNTEERS OF AMERICA SENIOR LIVING,554,6,3,0,0,1,16.7,16.7,83.3,0,2.3,2,3.3,4,4.3,3.7,1,62.1,54,1,12,2,323092.39,53848.73,3,0.5,21,15.3,1.7,3,63.3,87.9,88.3,1.09,1.35,16,2.6,5.3,2.5,1.3,25.7,19.9,95.4,97.9,0,27.2,3.9,14.6,15.3,9.7,37.1,4.7
VRC MANAGEMENT,555,5,1,0,0,0,0,100,0,0,4.4,4.4,3,4,3.9,3.4,0.7,52,33.3,0.4,0,0,0,0,0,0,28.6,12.1,0.5,0.7,33.4,76.9,92.9,1.45,1.54,5.9,1.7,5.8,0.6,0.2,18.6,11.9,97.8,96.9,0,22.4,4.8,3,18.8,11,40.1,10.8
WECARE CENTERS,705,11,2,0,1,1,9.1,81.8,18.2,0,2.3,2.3,2.6,2.8,3.4,3,0.7,69.7,66.3,0.8,37,3.4,633959.59,57632.69,0,0,23,14.4,1,2.6,48,61.6,63,1.64,1.31,19.1,3.1,6.2,1.8,1.9,25.2,24.4,91.4,81.9,0,26.9,7,8.8,19.9,10.5,24.9,1.6
WELLINGTON HEALTH CARE SERVICES,559,14,4,2,0,1,7.1,100,0,0,1.3,1.8,1.7,1.8,3.3,2.9,0.3,49.1,59.8,0.7,54,3.9,1141470.22,81533.59,3,0.2,29.9,12.1,3.1,3.8,45,59.4,55.9,2.18,1.68,14.8,2.6,7.3,1.8,2.3,23.9,21.2,80.7,74.2,0,19.9,7.9,2,15.8,10.2,23.9,3.4
WELLSENTIAL HEALTH,670,60,1,0,0,6,10,10,58.3,31.7,2.9,3,1.6,4,3.1,2.8,0.3,45.6,42.7,0.6,86,1.4,2145613.61,35760.23,4,0.1,26.3,11.5,1.3,2.1,53.2,91.6,94.8,1.92,1.77,8.1,3.5,4,0.4,0.7,14.9,12.7,99.8,99.6,0,19.1,4.2,3.5,21.3,10.7,21.3,7
"WELLTOWER, INC.",560,2,2,0,0,0,0,100,0,0,3.5,3,3.5,4,4.5,4.1,0.9,64.9,30,0,1,0.5,12649,6324.5,0,0,37.1,10.2,1.3,1.3,64,93.5,94.8,1.12,1.63,17.2,7.1,10.4,0.5,3.1,16.5,12.6,100,100,0,24.1,3.5,0.5,17.1,11,49,3.1
WESLEYLIFE,561,11,2,0,0,0,0,36.4,63.6,0,3.6,3.5,4,3.5,4.4,4,0.9,49.8,46,0.7,3,0.3,41473.25,3770.3,0,0,23.4,15.7,1.6,3.4,61.8,91.9,94,1.28,1.54,16,4.1,5.9,2.1,1.7,26,19,98.5,96.8,0,34.4,4.2,2.5,19,9.8,53.1,3.1
WEST HARBOR HEALTHCARE,596,8,1,0,0,0,0,100,0,0,3.5,3,3.1,4.3,4.2,3.8,0.4,46,33.4,0.3,23,2.9,638567.45,79820.93,1,0.1,21.3,12.1,0.9,2.1,47,94.9,96.7,1.88,1.61,9.8,1.2,4,1.3,1.3,21.3,12.9,99,99.6,0,16.4,6.3,1.3,14.3,11.2,40.3,18
WEST WHARTON COUNTY HOSPITAL DISTRICT,562,10,1,0,2,2,20,70,0,30,1.6,1.8,1.5,2.5,3,2.7,0.3,60.8,69.7,1.4,49,4.9,1843589.73,184358.97,5,0.5,27.7,16.3,1.5,2.4,52,69.3,81.3,2.26,2.71,8.6,2.8,5,0.3,0.7,22.1,23.1,92.4,93,0.1,19.9,3.4,4,28.5,10.8,28.8,1.8
WESTMINSTER COMMUNITIES OF FLORIDA,563,7,1,0,0,0,0,0,100,0,4,3.7,4.3,4.7,3.9,3.6,0.9,32.7,36.6,0.1,3,0.4,89923.6,12846.23,0,0,23.6,9.9,0.8,1.6,62.7,95.9,92.6,2.02,1.14,5.3,2.8,3.4,0.4,0.5,18.2,8.2,100,97.8,0,11.3,5.7,3.7,13.1,10.4,40.4,8
WHITE OAK MANAGEMENT,564,15,2,0,0,1,6.7,100,0,0,3.5,3.5,3.3,3.1,3.8,3.3,0.5,47.7,38.4,0.2,8,0.5,140384.04,9358.94,0,0,22.8,11.9,1.8,2.8,45.2,75.7,86.3,1.59,1.4,14.5,3.7,5.6,2.5,1.2,28.8,20.1,91.9,94.4,0,24.4,6.3,0.9,23.6,9.2,38.8,0.8
WHITTIER HEALTH NETWORK,565,8,1,0,0,0,0,100,0,0,3.8,3.9,3.8,3.1,4.7,3.9,1,44.7,39.7,0.3,3,0.4,34236.8,4279.6,0,0,26.3,14.6,1,1.8,51.2,90.2,92.4,1.62,1.43,20.5,3.6,4.1,5.6,1.8,26.6,18.5,97.1,94.1,0,23.2,5,3.2,23.8,11.5,42.7,12.7
WINDSOR,566,23,1,0,0,5,21.7,100,0,0,2.4,2.1,2.7,3.8,3.9,3.7,0.4,43.8,56.5,0.7,33,1.4,520268.43,22620.37,5,0.2,25,13.6,1.3,1.1,51.4,84.1,85.6,2.33,1.84,10.1,1.7,4.8,0.8,0.8,15.9,9.1,94.8,96,0,12.4,6.2,3,11.4,10.7,52.5,23
WINDSOR HEALTHCARE,731,7,1,0,0,0,0,100,0,0,1.3,1.1,1.3,3.7,3.1,2.7,0.6,,,,49,7,881505.09,125929.3,0,0,23.4,7.2,1.8,2.5,39.3,59,53.8,1.89,0.76,15.6,2,8.4,0.7,1.4,14.1,11.7,94.7,72.9,0,6.9,5,12.5,15.7,10.1,24.1,2.4
"WINDSOR HOUSE, INC.",567,12,2,0,0,3,25,100,0,0,2.8,2.6,2.8,3.8,3.6,3,0.5,44.2,38,1.3,8,0.7,247132.6,20594.38,1,0.1,31.1,11.7,1.6,2.2,36.5,63.9,68.2,1.49,1.84,11.7,5,3.1,0.6,0.2,10.2,6.1,93.6,92.8,2.8,22.7,7.7,1.9,22,10.3,31.7,2.5
"WISCONSIN ILLINOIS SENIOR HOUSING, INC.",569,7,2,0,0,0,0,0,100,0,2,2,3.4,2.7,4.5,3.9,0.9,61.5,49.7,1,14,2,457331.22,65333.03,5,0.7,25.2,18.4,1.2,2.5,47,84.1,89.3,1.27,1.85,16.3,3.1,6.6,5.5,3.2,28.4,17.5,95.3,96.5,0,21.6,3.6,6.5,12.2,11.4,59.1,24.3
WLC MANAGEMENT FIRM,570,17,1,0,0,2,11.8,94.1,5.9,0,2.4,3.5,1.5,1.4,2.8,2.5,0.4,46.1,59.3,1,19,1.1,880658.2,51803.42,3,0.2,26.6,17.1,4.2,2.8,45,67.6,85.5,2.49,3.66,23,6.1,6.3,3.8,2.9,30.8,22.7,96.4,95.9,0.1,24.5,6.5,7.1,26.3,10.9,38.9,0.8
WVU MEDICINE,571,5,2,0,0,0,0,40,60,0,3.5,3.8,3.3,3.3,6.4,5.7,2.1,50.5,37,1,2,0.4,24830,4966,0,0,21.9,8.7,1.5,1.6,54.9,96.9,87.1,2.08,1.71,17.4,4.4,3.8,3.4,2.4,36.2,25.4,100,98.3,0,21,7.2,0,20.4,10.7,48.3,3.7
YAD HEALTHCARE,640,7,2,0,0,0,0,100,0,0,1.9,2.6,1.4,2.6,3,2.6,0.3,63.1,46.4,0.4,3,0.4,68093.21,9727.6,0,0,25.8,16.9,1.4,2.7,58,73.9,77.1,1.8,2.31,16.9,2.8,7.3,1.2,0.2,21.1,17.5,94.9,97.2,0,25.1,10.1,5.8,20.2,10.1,53.1,8.1
National,,14757,53,88,440,1455,9.9,73.2,20.3,6.5,2.9,2.8,2.8,3.4,3.9,3.4,0.7,47.5,44.4,0.6,18802,1.3,549597792.6,37228.06,3114,0.2,24.9,12.8,1.6,2.5,52.4,79,81.7,1.81,1.74,14.6,3.3,5.5,1.9,1.3,21.5,17,95.3,93.4,0.1,20.9,5.6,9.8,19.9,10.6,40.4,7.6
A&M HEALTHCARE INVESTMENTS,641,2,2,0,0,1,50,100,0,0,1.5,1.5,2,3,3.4,3,0.6,44.5,72.7,0.5,2,1,119162.37,59581.19,3,1.5,24.9,24.1,3.1,5.7,23.3,73.8,87.1,1.56,1.45,15.8,2.7,4.4,0,1.2,18.7,16.3,99.1,97.9,0,29.4,15.5,24.2,39.9,11.2,70.4,9.8
"ABBY GL, LLC",1,6,1,0,0,3,50,100,0,0,2.2,2.2,3.5,3.8,4.2,3.8,0.5,36.3,33.9,0.3,4,0.7,351350.43,58558.41,6,1,25.4,11.6,2.1,0.5,42.2,98.1,99.5,2.5,1.82,11.8,0.9,4.6,0.4,0.2,10.4,8.1,100,100,0.2,9.4,2.1,5.3,18.9,10.5,46.5,6.2
ABCM CORP,718,28,1,0,0,0,0,100,0,0,4.1,4,3.4,3.1,3.7,3.2,0.6,35.8,27.6,0.4,7,0.3,156584.25,5592.29,2,0.1,21.4,18.4,2,2.7,51,77.6,90.6,1.22,2.23,23.7,2.6,3.6,3.3,2.4,17.4,16.1,97.7,98.4,0,26.7,4.2,1.5,19.1,10.2,47.7,9
ABRAHAM BAK & MENACHEM GASTWIRTH,4,16,1,0,0,2,12.5,100,0,0,2.4,2.3,2.8,3.4,4.4,4,0.4,39.2,46.8,0.7,12,0.8,278929.56,17433.1,3,0.2,26.7,9.9,2.9,0.9,46.5,98.3,99.6,2.65,1.16,13.8,1.4,6.3,1.1,1.1,10.2,12.2,99.7,99.9,0,11.8,4.8,18,14.8,11.1,50.4,11.3
ABRAHAM KRAUS,615,9,3,0,1,1,11.1,100,0,0,2.4,2.2,2.8,3.8,3.6,3.2,0.6,39.1,32.4,0.8,8,0.9,364349.25,40483.25,0,0,29.3,7.9,1.5,2.9,45.2,90.8,86.9,1.71,0.84,13.6,1.2,4.9,0.4,0.2,14.7,11.7,99.6,97.9,0,15.3,6,6.9,19.9,11.5,22.2,1.7
ABRAHAM SMILOW,662,6,1,0,0,0,0,100,0,0,1.7,1.7,2.8,3,3.3,3.1,0.6,48.8,50.4,0.4,7,1.2,192904.66,32150.78,1,0.2,20.1,5.8,1.7,3.2,50.2,57.4,50.3,1.49,1.3,20.3,2.2,6,1.9,2.6,32.5,26.1,91.2,80.2,0,28.3,7.6,6.9,22.8,10.7,25.7,1.7
ABRI HEALTH CARE,5,5,1,0,0,0,0,80,0,20,2,2.2,1.4,3,3.2,2.9,0.4,60.3,63.5,1.4,11,2.2,283111.6,56622.32,1,0.2,28.2,16.3,1.3,2.9,59.1,85,88.5,1.87,2.46,5.6,3.2,4.8,0.3,1.1,23.7,22.9,99,99.2,0,20.4,4.6,5.6,18.5,10.7,64,0
ABSOLUT CARE,6,6,1,0,0,0,0,100,0,0,3.3,3.2,2.8,3.8,3.6,3,0.5,52.5,45.5,1,1,0.2,46117.5,7686.25,0,0,20.5,14.8,1.5,2.5,55,78.7,71.9,1.38,1.07,17.5,2.9,5.1,0.9,0.4,19.9,15.7,96.2,88.1,0,22.3,5.1,3.4,18.6,10.4,49,8.7
ACCOLADE HEALTHCARE,7,7,1,0,0,1,14.3,100,0,0,2.3,2.4,1.6,2.9,3.6,3.1,0.6,52.5,57.5,0.1,21,3,615981.17,87997.31,4,0.6,27.8,12.8,1.8,2.8,44.8,76.3,88.3,1.63,1.76,11.2,1.9,5.6,0.8,0.9,27,19.9,95.9,95.6,0,26.4,10,21,24.5,11.4,43.6,9.1
ACCURA HEALTHCARE,8,30,3,0,2,1,3.3,100,0,0,2.3,2.4,3,2.9,3.6,3.2,0.7,44.8,49.5,0.2,23,0.8,610468.05,20348.94,8,0.3,23.4,18,2.4,1.1,56.6,72,90.5,1.63,2.51,18.9,3.9,4.2,2.5,1.8,23.3,21.4,95.4,95.6,0,28.4,5.5,3.4,18.8,10.2,54.4,8.1
ACTS RETIREMENT-LIFE COMMUNITIES,9,26,9,0,0,1,3.8,3.8,96.2,0,4.7,4.2,4.8,4.2,4.6,4.2,1.3,24.4,26.7,0.1,7,0.3,276127.6,10620.29,1,0,23.5,14.2,1.1,3.9,64.3,93,88.4,1.58,0.79,11.2,4.6,7.6,2.5,1.7,18.8,19.1,99.6,97.2,0,23.7,4.7,1.6,16.9,10.3,60.7,5
