Affiliated entity,Affiliated entity ID,Number of facilities,Number of states and territories with operations,Number of Special Focus Facilities (SFF),Number of SFF candidates,Number of facilities with an abuse icon,Percentage of facilities with an abuse icon,Percent of facilities classified as for-profit,Percent of facilities classified as non-profit,Percent of facilities classified as government-owned,Average overall 5-star rating,Average health inspection rating,Average staffing rating,Average quality rating,Average total nurse hours per resident day,Average total weekend nurse hours per resident day,Average total Registered Nurse hours per resident day,Average total nursing staff turnover percentage,Average Registered Nurse turnover percentage,Average number of administrators who have left the nursing home,Total number of fines,Average number of fines,Total amount of fines in dollars,Average amount of fines in dollars,Total number of payment denials,Average number of payment denials,Average percentage of short-stay residents who were re-hospitalized after a nursing home admission,Average percentage of short-stay residents who have had an outpatient emergency department visit,Average percentage of short-stay residents who newly received an antipsychotic medication,Average percentage of short-stay residents with pressure ulcers or pressure injuries that are new or worsened,Average percentage of short-stay residents who are at or above an expected ability to care for themselves and move around at discharge,Average percentage of short-stay residents who were assessed and appropriately given the seasonal influenza vaccine,Average percentage of short-stay residents who were assessed and appropriately given the  pneumococcal vaccine,"Average number of hospitalizations per 1,000 long-stay resident days","Average number of outpatient emergency department visits per 1,000 long-stay resident days",Average percentage of long-stay residents who received an antipsychotic medication,Average percentage of long-stay residents experiencing one or more falls with major injury,Average percentage of long-stay residents with pressure ulcers,Average percentage of long-stay residents with a urinary tract infection,Average percentage of long-stay residents who have or had a catheter inserted and left in their bladder,Average percentage of long-stay residents whose ability to move independently worsened,Average percentage of long-stay residents whose need for help with activities of daily living has increased,Average percentage of long-stay residents who were assessed and appropriately given the seasonal influenza vaccine,Average percentage of long-stay residents who were assessed and appropriately given the  pneumococcal vaccine,Average percentage of long-stay residents who were physically restrained,Average percentage of long-stay residents with new or worsened bowel or bladder incontinence,Average percentage of long-stay residents who lose too much weight,Average percentage of long-stay residents who have symptoms of depression,Average percentage of long-stay residents who used antianxiety or hypnotic medication,Average rate of potentially preventable hospital readmissions 30 days after discharge from a SNF,Average percentage of current residents up to date with COVID-19 vaccines,Average percentage of healthcare personnel up to date with COVID-19 vaccines
WEST WHARTON COUNTY HOSPITAL DISTRICT,562,10,1,0,2,3,30,70,0,30,1.5,1.7,1.5,2.5,3,2.7,0.3,60.8,69.7,1.4,50,5,1893768.83,189376.88,5,0.5,27.7,16.3,1.5,2.4,52,69.3,81.3,2.26,2.71,8.6,2.8,5,0.3,0.7,22.1,23.1,92.4,93,0.1,19.9,3.4,4,28.5,10.8,29.5,23.4
WESTMINSTER COMMUNITIES OF FLORIDA,563,7,1,0,0,0,0,0,100,0,4.1,3.9,4.3,4.7,3.9,3.6,0.9,32.7,36.6,0.1,3,0.4,89923.6,12846.23,0,0,23.6,9.9,0.8,1.6,62.7,95.9,92.6,2.02,1.14,5.3,2.8,3.4,0.4,0.5,18.2,8.2,100,97.8,0,11.3,5.7,3.7,13.1,10.4,38.7,8
WHITE OAK MANAGEMENT,564,15,2,0,0,2,13.3,100,0,0,3.4,3.3,3.3,3.1,3.8,3.3,0.5,47.7,38.4,0.2,8,0.5,140384.04,9358.94,0,0,22.8,11.9,1.8,2.8,45.2,75.7,86.3,1.59,1.4,14.5,3.7,5.6,2.5,1.2,28.8,20.1,91.9,94.4,0,24.4,6.3,0.9,23.6,9.2,44.8,0.8
WHITTIER HEALTH NETWORK,565,8,1,0,0,0,0,100,0,0,3.9,4,3.8,3.1,4.7,3.9,1,44.7,39.7,0.3,2,0.3,25448.8,3181.1,0,0,26.3,14.6,1,1.8,51.2,90.2,92.4,1.62,1.43,20.5,3.6,4.1,5.6,1.8,26.6,18.5,97.1,94.1,0,23.2,5,3.2,23.8,11.5,43.9,9.6
WINDSOR,566,23,1,0,0,5,21.7,100,0,0,2.4,2.1,2.7,3.8,3.9,3.7,0.4,43.8,56.5,0.7,33,1.4,667353.43,29015.37,6,0.3,25,13.6,1.3,1.1,51.4,84.1,85.6,2.33,1.84,10.1,1.7,4.8,0.8,0.8,15.9,9.1,94.8,96,0,12.4,6.2,3,11.4,10.7,54.5,22.2
"WINDSOR HOUSE, INC.",567,12,2,0,0,3,25,100,0,0,2.8,2.6,2.8,3.8,3.6,3,0.5,44.2,38,1.3,11,0.9,285497.15,23791.43,1,0.1,31.1,11.7,1.6,2.2,36.5,63.9,68.2,1.49,1.84,11.7,5,3.1,0.6,0.2,10.2,6.1,93.6,92.8,2.8,22.7,7.7,1.9,22,10.3,31.4,2.6
"WISCONSIN ILLINOIS SENIOR HOUSING, INC.",569,7,2,0,0,0,0,0,100,0,2,2,3.4,2.7,4.5,3.9,0.9,61.5,49.7,1,14,2,457331.22,65333.03,5,0.7,25.2,18.4,1.2,2.5,47,84.1,89.3,1.27,1.85,16.3,3.1,6.6,5.5,3.2,28.4,17.5,95.3,96.5,0,21.6,3.6,6.5,12.2,11.4,50.1,23.7
WLC MANAGEMENT FIRM,570,17,1,0,0,1,5.9,94.1,5.9,0,2.4,3.6,1.5,1.4,2.8,2.5,0.4,46.1,59.3,1,18,1.1,863443.2,50790.78,3,0.2,26.6,17.1,4.2,2.8,45,67.6,85.5,2.49,3.66,23,6.1,6.3,3.8,2.9,30.8,22.7,96.4,95.9,0.1,24.5,6.5,7.1,26.3,10.9,48.1,0.7
WVU MEDICINE,571,5,2,0,0,0,0,40,60,0,3.5,3.8,3.3,3.3,6.4,5.7,2.1,50.5,37,1,2,0.4,24830,4966,0,0,21.9,8.7,1.5,1.6,54.9,96.9,87.1,2.08,1.71,17.4,4.4,3.8,3.4,2.4,36.2,25.4,100,98.3,0,21,7.2,0,20.4,10.7,26.3,3.7
YAD HEALTHCARE,640,7,2,0,0,0,0,100,0,0,1.9,2.6,1.4,2.6,3,2.6,0.3,63.1,46.4,0.4,4,0.6,68755.94,9822.28,0,0,25.8,16.9,1.4,2.7,58,73.9,77.1,1.8,2.31,16.9,2.8,7.3,1.2,0.2,21.1,17.5,94.9,97.2,0,25.1,10.1,5.8,20.2,10.1,50.1,8.1
National,,14769,53,84,441,1460,9.9,73.2,20.3,6.5,2.9,2.8,2.8,3.4,3.9,3.4,0.7,47.5,44.4,0.6,19529,1.3,551941144.6,37356.42,3118,0.2,24.9,12.8,1.6,2.5,52.4,79,81.7,1.81,1.74,14.6,3.3,5.5,1.9,1.3,21.5,17,95.3,93.4,0.1,20.9,5.6,9.8,19.9,10.6,42.6,7.7
A&M HEALTHCARE INVESTMENTS,641,2,2,0,0,0,0,100,0,0,2.5,2.5,2,3,3.4,3,0.6,44.5,72.7,0.5,2,1,119162.37,59581.19,3,1.5,24.9,24.1,3.1,5.7,23.3,73.8,87.1,1.56,1.45,15.8,2.7,4.4,0,1.2,18.7,16.3,99.1,97.9,0,29.4,15.5,24.2,39.9,11.2,69.5,9.3
"ABBY GL, LLC",1,6,1,0,0,3,50,100,0,0,2.2,2.2,3.5,3.8,4.2,3.8,0.5,36.3,33.9,0.3,4,0.7,351350.43,58558.41,6,1,25.4,11.6,2.1,0.5,42.2,98.1,99.5,2.5,1.82,11.8,0.9,4.6,0.4,0.2,10.4,8.1,100,100,0.2,9.4,2.1,5.3,18.9,10.5,47.4,2.9
ABCM CORPORATION,2,17,1,0,0,0,0,100,0,0,4.2,4.1,3.3,3.1,3.7,3.2,0.5,33.7,29.7,0.3,4,0.2,64626.25,3801.54,3,0.2,23.1,20.7,1.6,2,52.6,83.5,90.3,1.2,2.17,22.6,2.5,3.3,3.9,2.5,18.2,17.2,98.2,98.1,0,27,3.8,2.2,19.9,10.2,52.5,5.4
ABRAHAM BAK & MENACHEM GASTWIRTH,4,15,1,0,0,2,13.3,100,0,0,2.5,2.4,2.8,3.5,4.4,4,0.4,39.1,49.1,0.6,10,0.7,195603.21,13040.21,1,0.1,27,9.5,3,0.9,48,98.3,99.6,2.68,1.15,13.6,1.4,6,0.9,1.1,10.1,12.4,99.6,99.8,0,11.4,4.4,18.7,14.2,11.1,44.1,8.7
ABRAHAM KRAUS,615,10,3,0,1,1,10,100,0,0,2.5,2.2,2.8,3.9,3.6,3.2,0.5,39.7,30.5,0.9,10,1,395352.42,39535.24,0,0,28.5,7.7,1.4,2.7,46.1,89.9,87.4,1.72,0.84,13.3,1.1,4.7,0.4,0.2,15,12.5,99.6,97.6,0,15.3,6.2,7.3,19.1,11.2,28,1.1
ABRAHAM SMILOW,662,6,1,0,0,0,0,100,0,0,1.7,1.7,2.8,3,3.3,3.1,0.6,48.8,50.4,0.4,7,1.2,192904.66,32150.78,1,0.2,20.1,5.8,1.7,3.2,50.2,57.4,50.3,1.49,1.3,20.3,2.2,6,1.9,2.6,32.5,26.1,91.2,80.2,0,28.3,7.6,6.9,22.8,10.7,23,1.7
ABRI HEALTH CARE,5,5,1,0,0,0,0,80,0,20,1.8,2,1.4,3,3.2,2.9,0.4,60.3,63.5,1.4,10,2,207411.6,41482.32,1,0.2,28.2,16.3,1.3,2.9,59.1,85,88.5,1.87,2.46,5.6,3.2,4.8,0.3,1.1,23.7,22.9,99,99.2,0,20.4,4.6,5.6,18.5,10.7,0,0
ABSOLUT CARE,6,6,1,0,0,0,0,100,0,0,3.3,3.2,2.8,3.8,3.6,3,0.5,52.5,45.5,1,1,0.2,46117.5,7686.25,0,0,20.5,14.8,1.5,2.5,55,78.7,71.9,1.38,1.07,17.5,2.9,5.1,0.9,0.4,19.9,15.7,96.2,88.1,0,22.3,5.1,3.4,18.6,10.4,51.3,13.9
ACCOLADE HEALTHCARE,7,7,1,0,1,1,14.3,100,0,0,2.3,2.4,1.6,2.9,3.6,3.1,0.6,52.5,57.5,0.1,21,3,698751.31,99821.62,5,0.7,27.8,12.8,1.8,2.8,44.8,76.3,88.3,1.63,1.76,11.2,1.9,5.6,0.8,0.9,27,19.9,95.9,95.6,0,26.4,10,21,24.5,11.4,45.3,9.2
ACCURA HEALTHCARE,8,31,4,0,2,2,6.5,100,0,0,2.3,2.4,2.9,2.9,3.6,3.2,0.7,46.5,50.7,0.2,22,0.7,605421.8,19529.74,9,0.3,23.4,18,2.4,1.1,56.6,72,88.5,1.59,2.45,19.2,4.1,4.1,2.4,1.7,23.2,21.6,95.2,94.8,0,28.8,5.5,3.3,18.3,10.2,57.9,7
ACTS RETIREMENT-LIFE COMMUNITIES,9,26,9,0,0,1,3.8,3.8,96.2,0,4.7,4.2,4.8,4.2,4.6,4.2,1.3,24.4,26.7,0.1,7,0.3,443709.6,17065.75,1,0,23.5,14.2,1.1,3.9,64.3,93,88.4,1.58,0.79,11.2,4.6,7.6,2.5,1.7,18.8,19.1,99.6,97.2,0,23.7,4.7,1.6,16.9,10.3,61.4,4.5
ADAMS COUNTY MEMORIAL HOSPITAL,10,9,1,1,0,0,0,44.4,33.3,22.2,3.4,3.4,3.1,3.6,3.9,3.4,0.7,50.5,47.2,0.8,3,0.3,59322.25,6591.36,1,0.1,23,9.1,1.7,3.2,46,78.4,88.2,1.84,1.03,10.8,4.2,4.6,2.9,1.1,26.7,24,95.6,96.8,0,28.7,4.5,6.1,20.6,10.1,52.1,11.3
ADVANCED HEALTH CARE,11,26,11,0,0,1,3.8,100,0,0,4.9,4.2,4.4,4.8,5.7,4.8,1.6,45.1,43.8,0.4,37,1.4,309102.18,11888.55,1,0,21.9,10.4,0.5,1.9,63.8,87.6,93.1,,,,,,,,,,,,,,,,,10.6,23.8,6
ADVANCED HEALTH CARE MANAGEMENT,12,6,2,0,0,0,0,100,0,0,2.8,2.8,3.7,3.3,4.1,3.3,0.5,38.4,25.2,0.2,2,0.3,19357,3226.17,0,0,26.7,13.6,1.5,1.7,63.5,93.1,98.7,2.33,2.47,13.5,2.4,8,1.9,1.1,27.1,23.8,99.1,100,0,20.4,2.4,2.1,26.7,12.1,30.1,1
ADVANCED HEALTHCARE SOLUTIONS,13,39,1,0,1,4,10.3,74.4,0,25.6,2.9,2.5,2.4,3.9,3.5,3.1,0.4,51.4,54.1,0.7,59,1.5,2420389.6,62061.27,2,0.1,27.8,14.7,1.1,2.3,59,86.4,91.4,1.81,2.09,7.1,2.9,4.3,0.3,1,18.4,14.4,96.8,97.7,0,17.6,3.7,2.8,21.2,10.5,25.9,7.2
ADVENTIST HEALTH,671,5,1,0,0,0,0,20,80,0,4,3.4,3.4,4.2,5.5,5,1.3,30.7,26.9,0.7,2,0.4,46359.3,9271.86,1,0.2,22.9,5.6,1.5,0.8,44.1,90.2,82.2,1.57,1.16,14.3,1.7,5.4,4.3,6,17.6,15.4,99.3,97.9,0.5,11.7,4.4,2,17.8,11.7,48.8,3.5
ADVINIACARE,16,12,2,1,2,2,16.7,100,0,0,1.4,1.6,1.7,2.6,3.5,3.1,0.6,47.7,65.2,4.3,21,1.8,1572749.46,131062.46,4,0.3,28.1,12.2,1.4,2.4,51.9,70.5,75.6,1.93,1.61,18.3,4.2,5.3,2.2,1.1,29,26.7,84.2,88.3,0.1,26.1,6.5,20.5,19.8,10.6,37.2,6
AHAVA HEALTHCARE,17,13,3,0,0,0,0,100,0,0,2.5,2.6,1.9,2.9,3.7,3.2,0.4,58.9,57.4,0.7,8,0.6,286635.18,22048.86,2,0.2,28.5,13.1,1.9,3.4,49.2,83.7,72.7,1.82,1.71,13.4,3.1,5.9,1.7,1,24.3,15.9,95.1,89,0,21.1,5.7,7.3,31.7,10.7,15.6,7.6
AHMC HEALTHCARE,18,5,1,0,0,0,0,100,0,0,3.2,3,3.2,4,7.6,7.1,2.6,13.5,15.8,,6,1.2,31351.46,6270.29,1,0.2,35,13.6,1.3,0,81,93.4,82.2,2.33,0.97,7,0.6,12.7,2.1,9.4,14.6,12.4,98.2,98.2,3.6,3.6,8.4,0.5,9.5,10.1,61,5.7
AJC HEALTHCARE,616,14,1,0,1,3,21.4,100,0,0,1.9,1.8,2.4,3.6,4,3.6,0.3,45,50.9,0.4,32,2.3,667966.56,47711.9,5,0.4,26.5,17.1,1.6,1.5,47.3,84.5,86.6,1.83,2.49,10.6,2.2,3.9,0.9,0.6,13.9,10.6,97.7,97.2,0,17.3,4.5,10.7,16.7,10.5,55.5,20.1
AKIKO IKE,582,6,3,0,1,0,0,100,0,0,2.7,2.3,3.8,2.7,3.9,3.6,0.8,43.4,32.8,0.8,6,1,386822.49,64470.42,4,0.7,22.3,9.8,2.4,4.5,52.9,86.5,78.7,1.93,1.29,21.6,3.8,6.2,1.4,1.2,27.4,26.7,96.3,94,0,30.2,7,2.9,16.7,10,67.5,14.4
ALARIS HEALTH,20,7,1,0,0,0,0,100,0,0,3.1,2.6,4.3,4.1,4.7,4.1,1.1,44.2,43.8,0.7,4,0.6,96407,13772.43,0,0,27.9,6.9,0.9,2.1,55.7,85.5,89.7,2.61,1.15,12.2,1.4,8.4,1.2,2,18.7,16.4,97.4,96.7,0,9.4,4.1,0.4,16.8,10.8,44.1,3.4
ALIYA HEALTHCARE,663,9,1,0,0,2,22.2,100,0,0,2.1,2.2,1.2,3.9,3.1,2.8,0.7,44.8,48.7,1,33,3.7,1676985.22,186331.69,13,1.4,29.5,9.5,1.6,1.9,42.6,50.9,55,1.62,1.13,23.7,1.6,6.7,0.1,0.1,10.9,5.6,87.8,80,0,19.7,6.3,91.5,17.8,10.7,28.5,10.9
ALLAIRE HEALTH SERVICES,21,14,4,0,2,2,14.3,100,0,0,1.9,1.6,2.6,4.1,3.8,3.2,0.6,57.5,52.1,0.9,17,1.2,1068253.66,76303.83,5,0.4,26.3,9.5,1.2,3.7,58.1,85.1,78.6,2.44,1.46,16.6,3.1,6,0.5,0.3,5.6,5.9,96.9,93.4,0,18,5.6,9,20.9,11.1,37.6,1.4
ALLEGIANT HEALTHCARE,22,5,2,0,0,0,0,100,0,0,2.4,2.2,2.2,4,3.7,3.5,0.6,67.7,79.9,1,21,4.2,245637.55,49127.51,0,0,29.1,9.7,1.4,1,46.2,87.5,88.8,1.87,1.92,8.5,1.4,6.9,0.3,4.5,12.6,7,98.3,97.6,0.1,12.1,5,1.4,22.8,11.5,74,7.6
ALLIANCE HEALTH & HUMAN SERVICES,23,7,1,0,0,0,0,0,100,0,4,3.9,4.1,3.6,4.1,3.7,0.7,35.7,37.8,0,6,0.9,126251,18035.86,0,0,30.6,14.5,0.6,3.4,52.4,85.7,87.3,1.48,1.32,16.7,3,4.2,2.9,1.4,19.5,17.9,95.9,96.3,0.1,15.4,2.5,0.5,15.9,11.8,51.3,11.9
ALLIANCE HEALTH GROUP,714,6,1,0,1,2,33.3,100,0,0,1.5,2,1.7,1.8,3.5,3.1,0.3,64.2,69.7,1,15,2.5,332774.91,55462.49,4,0.7,25,13.1,2.7,3.5,40.6,57.7,60.6,2.19,1.49,13.4,2.4,8.6,0.9,1.7,37.9,28.3,84.2,88.2,0,27.7,6.9,1.4,22.2,10.8,30.9,1.5
ALLURE HEALTHCARE SERVICES,25,15,1,0,0,3,20,100,0,0,2.7,3.2,1.8,2.6,3.6,3.3,0.6,43,48.8,0.5,17,1.1,664980.5,44332.03,7,0.5,23.8,19.3,0.9,3.9,44.2,50.3,63.4,1.64,2.08,20.7,3.8,5.1,4.1,1.4,28.6,21.4,92.7,91.4,0,28.8,6.4,63,23.6,10.3,48,4.6
ALPHA SNF MA,680,5,1,0,0,0,0,100,0,0,2.4,2,2.4,3.4,3.4,3.2,0.5,50.1,62,1.3,14,2.8,220744.96,44148.99,2,0.4,26.2,20.2,1.5,1.3,51.1,57.5,42.4,1.47,1.75,19.5,3.3,4.1,0.8,0.4,19.3,19.7,92.5,91,0,15.2,5.9,1.8,20.5,10.2,62.2,40.8
ALTERCARE,26,23,1,0,0,1,4.3,100,0,0,3.5,3.1,2.2,4.7,3.6,3.1,0.7,55.4,44.6,0.5,13,0.6,162502.72,7065.34,2,0.1,26.9,13.1,1.1,1.8,59.1,63.5,66.3,1.32,1.51,6.6,5,4.2,0.5,0.1,7.1,6.4,91.7,85.9,0,21.7,5.8,23.8,26.7,10.5,39.1,4.8
AMA HOLDINGS,27,13,1,0,2,1,7.7,100,0,0,1.6,1.7,1.3,2.6,3.5,3,0.4,70.5,71.6,0.6,24,1.8,851467.89,65497.53,9,0.7,28,13.9,1.5,5.1,51.4,45.6,47.8,2.08,2.1,13.2,3.3,5.2,1.1,0.2,17.2,14.7,86.2,76.5,0,24.6,1.5,51.3,21.4,10.6,39,33.3
AMBASSADOR HEALTH,28,4,2,0,0,0,0,100,0,0,4.5,4.3,4.3,3.5,5.1,4.4,1.1,44.2,30.3,0,1,0.3,9750,2437.5,0,0,22.9,13.5,1.5,0.4,60.5,64.9,87.4,1.88,2.16,14.4,3.9,2.4,2.3,2.2,18.2,16.7,93,88.8,0.6,20.4,2.7,1.1,24.1,10.5,44,5.2
AMERICAN BAPTIST HOMES OF THE MIDWEST,29,6,5,0,0,2,33.3,0,100,0,2.5,2,3.2,3.5,4.1,3.8,0.7,55.5,55.4,0.8,8,1.3,150102.25,25017.04,3,0.5,23,16.9,2.3,5.1,57.9,85.6,90.4,1.55,1.31,15.6,3.7,4.3,3.8,0.9,26.3,19.5,99.4,99.5,0,29.2,3.7,3.4,10.8,9.7,58.2,2.4
AMERICAN HEALTH COMMUNITIES,30,29,2,0,2,3,10.3,100,0,0,2.4,2.7,2.1,2.7,3.7,3.1,0.6,48.6,43.7,0.4,24,0.8,995591.96,34330.76,6,0.2,24.3,15,1.9,4.5,49.7,71.4,73.5,1.55,1.26,21.4,2.5,6.2,3,1.8,22.6,15.8,87.6,86,0.1,18.6,6.5,12.6,50.8,11.2,28.7,7.1
AMERICAN HEALTH FOUNDATION,31,6,2,0,0,1,16.7,0,100,0,2.2,2.3,2.5,2.7,3.7,3.4,0.6,60.2,54.5,0.5,10,1.7,452131.55,75355.26,2,0.3,26,10.2,2.4,1.9,44.5,59.9,59.8,1.34,1.24,11.3,3.6,3.5,1.4,1.1,31.7,21,93.8,86.3,0,23.8,4.9,6.9,20.8,9.9,58.2,14.5
AMERICAN SENIOR COMMUNITIES,33,78,1,0,0,0,0,38.5,20.5,41,3.6,3.3,2,4.4,3.5,3,0.5,46.6,39.1,0.5,26,0.3,498452.5,6390.42,2,0,22.2,12,1.3,2.8,49.9,89.7,89.3,1.62,1.43,7.9,3.5,4.9,1,0.3,13.1,11.1,98.8,97.1,0,22.7,4.5,29.4,21.9,10.4,39.6,4.1
AMERICARE SENIOR LIVING,34,23,2,0,0,1,4.3,100,0,0,3.9,3.9,3.1,3.3,3.6,3.1,0.5,49.2,41.6,0.3,10,0.4,188628.1,8201.22,0,0,24.7,15.1,2,1.8,60.4,76.9,85.2,1.92,2.5,20.8,4.4,5.1,2.2,2.4,16.8,16.1,94.7,96.9,0,22.3,7.6,2.5,24.2,10.4,45.5,3.4
ANEW HEALTHCARE,35,10,3,0,1,2,20,100,0,0,1.6,1.8,1.2,2.9,3.1,2.8,0.3,,,,17,1.7,553988.92,55398.89,3,0.3,22.2,7.6,0.7,3.2,50.4,59.5,40.9,1.72,2.22,19,2.7,4,2.9,2,24.2,21.1,90,74.2,0,24.6,3.5,5.4,25.4,10.1,27.4,11
ANTHONY & BRYAN ADAMS,36,37,2,0,0,0,0,100,0,0,3.7,3.4,2.8,3.9,3.8,3.2,0.4,55.1,52.8,0.5,14,0.4,185685.5,5018.53,1,0,28.3,14.3,0.6,3.1,54.5,68.8,78.7,1.87,1.92,4.7,3.7,4.8,1,0.4,15.7,11.4,93.4,95.2,0,16.6,3.2,0.6,17.1,10.8,40.8,1
AOM HEALTHCARE,37,20,1,1,1,1,5,100,0,0,2.3,1.8,1.8,4.6,3.2,2.8,0.4,58.9,63.6,1,19,1,736677.27,36833.86,7,0.4,27.2,15.1,0.4,4.1,44.9,61.6,81.9,1.24,1.73,11.4,3,4.3,0.3,0.1,9.2,6.7,94.7,93.9,0,17,5.1,19.1,29.7,11.2,30.6,0.1
APERION CARE,38,34,2,3,2,11,32.4,97.1,0,2.9,1.7,2.1,1.4,2.6,2.9,2.5,0.5,51,46.3,0.6,102,3,4113985.69,120999.58,40,1.2,27.8,12.4,3,2.4,34.4,51.4,48.7,1.9,1.92,24.4,2.9,5.6,0.7,0.7,19.6,14.5,91.4,86.8,0.1,23.1,5.8,79.6,17.1,10.6,42.7,2.9
APPLE REHAB,39,20,2,0,1,6,30,100,0,0,1.9,2,2.6,2.6,3.4,3.1,0.6,45.8,52.2,0.8,27,1.4,991660.33,49583.02,3,0.2,29.1,12.7,2.2,2.4,51,44.2,41.1,2.52,1.64,17.5,3.5,4.5,2.8,2.1,26,22,88.2,72.4,0,22.4,8.4,4.1,16,10.4,61.2,3.8
ARABELLA HEALTHCARE MANAGEMENT,633,12,2,0,0,1,8.3,100,0,0,2.7,2.6,3.2,3.3,3.6,3.1,0.7,55.1,55.7,0.9,28,2.3,387123.67,32260.31,2,0.2,30.5,13.4,2,1.9,47.8,72.5,87.3,2.08,1.57,18.8,2.2,6.9,1.5,1.1,12.7,9.5,96.5,91.4,0,17.1,6.8,1.2,19.6,10.7,25.1,9.5
ARBOR CARE CENTERS,40,9,1,0,0,0,0,100,0,0,2.3,2.6,2.3,2.7,3.1,2.8,0.5,59.3,52,1.2,2,0.2,23861.5,2651.28,1,0.1,20.3,6.2,1.1,4.3,42.4,68.8,67.1,1.71,1.77,22.3,4.1,5.3,2.1,2.7,25.4,22.4,96.3,92.4,0,29.1,5.2,2.5,23,10.7,48.5,2
ARBORETA HEALTHCARE,618,21,4,0,1,2,9.5,95.2,0,4.8,1.5,1.9,2.1,2.4,3.2,2.9,0.6,100,100,1.6,26,1.2,866105.21,41243.11,10,0.5,27.8,20,3.9,3,47.2,79.1,80.1,1.82,2.75,21.7,2.8,3.8,2.1,2.1,25.8,21.1,97.3,92.5,0.1,23.3,4.9,2.9,27.1,10.1,55,3.6
ARBORS AT OHIO,41,16,1,0,0,2,12.5,100,0,0,2.2,2.1,2.5,3.4,3.7,3.3,0.6,54.4,48.1,0.8,23,1.4,847595.79,52974.74,8,0.5,27.9,18.6,1.7,1.8,47.1,76,71.7,1.71,2.05,12.6,3.5,4.8,0.8,0.4,13.2,8.2,96.8,93.9,0,23,8.4,2.9,29.4,10.4,23.7,0.3
ARCADIA CARE,42,11,1,0,1,4,36.4,100,0,0,2,2.4,1.3,2.6,2.8,2.6,0.5,51.2,51.2,0.7,33,3,1569353.16,142668.47,11,1,26.4,13.7,1.6,3.4,35.8,74.7,71.5,1.93,2.65,13.1,3.4,3.2,1.1,0.8,25.1,18.6,90.5,91.1,0,24.8,12.9,77.8,18.1,10.5,41.2,5.4
ARCHCARE,43,6,1,0,0,0,0,16.7,83.3,0,3.3,2.8,2.8,4.7,3.3,3,0.8,38.5,45.4,0.3,2,0.3,22900.75,3816.79,0,0,21.9,7.8,1,2,73.2,69.5,68,1.47,0.96,10.1,2.1,4.9,0.3,0.2,10.6,10.8,93.4,81.9,0,22.2,6.4,20.2,11.3,9.8,55.6,2.4
ARISTACARE,45,3,2,0,0,0,0,100,0,0,1.7,2,2,2.3,3.8,3.5,0.5,42.8,39.4,0.3,4,1.3,260973.75,86991.25,0,0,26,10.6,2,3,42.9,56.1,56.5,2.18,1.18,11.7,1.9,7.8,0.4,0.7,4.5,6.2,90.9,76.6,0.3,12.1,6.4,15,25,11,25.5,1.4
ARROWHEAD HEALTHCARE PARTNERS,46,5,1,0,0,1,20,60,0,40,1.8,2,1,4.2,2.8,2.5,0.4,54.7,66.6,1,10,2,339964.66,67992.93,1,0.2,24.5,10.3,0.7,1.9,59.8,87.4,97.4,1.77,1.48,6.6,2.6,3.8,0.9,0.3,17.8,14.4,98.7,99.9,0,23.9,5.3,1.2,15,11.9,63.3,0.4
ASBURY COMMUNITIES,47,7,3,0,0,0,0,0,100,0,3.4,3.3,3.9,3.9,4,3.6,0.8,37,27,0.4,6,0.9,31043.81,4434.83,1,0.1,18.4,11.9,1.9,3.8,57.1,91.1,94.1,1.36,1.48,13.3,3.9,3.9,0.9,0.5,31,19,98.7,97.2,0,24.5,7.7,3.4,20.1,10.1,56.4,4.9
ASCENSION LIVING,48,26,10,0,0,2,7.7,7.7,92.3,0,2.4,2.5,3.4,2.7,3.9,3.5,0.9,54.2,47.2,0.6,43,1.7,1811375.85,69668.3,15,0.6,26.4,15,1,3.4,48.8,79,76.7,2.1,2.05,13.3,4.5,6.8,2.5,0.8,27.9,22.7,95.4,93.6,0,20.2,5.2,11.1,15.5,10.9,44.9,4.6
ASCENTRIA CARE ALLIANCE,49,5,2,0,0,0,0,0,100,0,4,4,3.8,3.2,4.3,3.7,0.6,34.2,35.6,0.8,2,0.4,11150.75,2230.15,0,0,27.6,13,1.1,2.2,58.9,82,79.3,2.18,1.77,15,3.4,5.2,2.2,0.3,23.4,19.8,96.3,85.6,0.2,24.4,5.7,0.3,17.3,10.1,56,19.8
ASPEN SKILLED HEALTHCARE,50,29,1,0,2,4,13.8,100,0,0,3.1,2.8,3.6,3.9,4.4,4,0.7,40.2,36.9,0.2,63,2.2,1211377.38,41771.63,6,0.2,25.8,11.3,1.2,0.9,50.5,95.9,98.1,2.1,1.63,6.7,1.6,5.5,1.4,1.4,18.7,12.7,98.2,99.6,0,18.2,4.5,4,11,10.5,48.2,20.5
ASPIRE HEALTH GROUP,672,52,1,0,1,8,15.4,100,0,0,2,1.9,2.5,3.6,3.3,3.1,0.5,48.5,56.8,1.4,175,3.4,3936970.67,75710.97,4,0.1,26.1,9.4,1.2,2.8,45.1,90.6,90.9,2.08,1.25,6,2.6,6.6,0.8,0.7,18,12.9,98.5,97,0,20.4,7.7,2.3,20.1,10.7,24.2,18.1
